N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.526006,0.148618498055
100,4,1,2,0.508408,0.103130604265
100,4,1,3,0.588486,0.155480769885
100,4,2,1,0.486492,0.130843073703
100,4,3,1,0.522466,0.229329921388
100,4,2,2,0.528602,0.158437304938
100,4,3,3,0.71092,0.377896929863
100,8,1,1,0.4949,0.0968363877889
100,8,1,2,0.51098,0.121558428749
100,8,1,3,0.600126,0.217314615532
100,8,2,1,0.52206,0.424139354929
100,8,3,1,0.514072,0.229409665917
100,8,2,2,0.541252,0.204103092813
100,8,3,3,0.680316,0.242063487837
398,8,1,1,0.67722,0.122220045819
398,8,1,2,0.789758,0.0961129306389
398,8,1,3,0.965772,0.213506674406
398,8,2,1,0.7437,0.143424928098
398,8,3,1,0.817348,0.180708834582
398,8,2,2,0.714812,0.215157023255
398,8,3,3,0.917226,0.274418211721
