N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.290904,0.10178309675
100,4,1,2,0.29869,0.0907268752906
100,4,1,3,0.346512,0.176842341808
100,4,2,1,0.30022,0.133124706948
100,4,3,1,0.330582,0.155614457156
100,4,2,2,0.336038,0.143235151258
100,4,3,3,0.377616,0.242991449529
100,8,1,1,0.280492,0.10627094587
100,8,1,2,0.299092,0.178550204525
100,8,1,3,0.344592,0.228705954308
100,8,2,1,0.300308,0.172312660986
100,8,3,1,0.32092,0.129788788422
100,8,2,2,0.294774,0.160182330249
100,8,3,3,0.362168,0.178277760183
398,8,1,1,0.447362,0.111837502458
398,8,1,2,0.535464,0.203022916697
398,8,1,3,0.735002,0.64640311416
398,8,2,1,0.570768,0.136052336165
398,8,3,1,0.599968,0.143968270727
398,8,2,2,0.491112,0.204567024361
398,8,3,3,0.56508,0.235906756156
